Funtime
The+Godfather
Goodfellas
Pulp+Fiction
The+Usual+Suspects
Apocalypse+Now
Trainspotting
Fight+Club
Schindlers+List
Boogie+Nights
Reservoir+Dogs
The+Shawshank+Redemption
Jaws
Taxi+Driver
LA+Confidential
Back+to+the+Future
The+Godfather+Part+II
Fargo
The+Dark+Knight
The+Matrix
Magnolia
Scarface
The+Royal+Tenenbaums
Donnie+Darko
Platoon
Heat
American+Beauty
The+Big+Lebowski
Raging+Bull
Un+prophate
The+Departed
Theres+Something+About+Mary
Laon
Cidade+de+Deus
Once+Upon+a+Time+in+America
Lock,+Stock+and+Two+Smoking+Barrels
The+Truman+Show
Toy+Story
Alien
Rushmore
Se7en
Good+Will+Hunting
Aliens
The+Exorcist
One+Flew+Over+the+Cuckoos+Nest
Chinatown
Casino
True+Romance
Gladiator
Raiders+of+the+Lost+Ark
Millers+Crossing
Being+John+Malkovich
Die+Hard
Casablanca
Kick-Ass
The+Prestige
Inglourious+Basterds
Evil+Dead+II
Jurassic+Park
Batman+Begins
The+Green+Mile
The+French+Connection
Unforgiven
Drive
The+Shining
The+Evil+Dead
Forrest+Gump
The+Thing
Citizen+Kane
Blue+Velvet
The+Wicker+Man
Eternal+Sunshine+of+the+Spotless+Mind
The+Princess+Bride
A+Clockwork+Orange
Go
Stand+by+Me
The+Lord+of+the+Rings+The+Return+of+the+King
Terminator+2+Judgment+Day
Toy+Story+2
Saving+Private+Ryan
Indiana+Jones+and+the+Last+Crusade
Sin+City
Saw
My+Left+Foot+The+Story+of+Christy+Brown
Bowling+for+Columbine
Man+on+Fire
Almost+Famous
High+Fidelity
Django+Unchained
12+Angry+Men
Memento
Rain+Man
Minority+Report
Goldfinger
The+Social+Network
American+Psycho
Men+in+Black
No+Country+for+Old+Men
Airplane
There+Will+Be+Blood
Inception
JFK
King+Kong
The+Terminator
The+Lord+of+the+Rings+The+Fellowship+of+the+Ring
Kill+Bill+Vol+1
The+Silence+of+the+Lambs
The+Color+of+Money
This+Is+England
Its+a+Wonderful+Life
Children+of+Men
In+the+Name+of+the+Father
American+History+X
Twelve+Monkeys
Dog+Day+Afternoon
The+Untouchables
Close+Encounters+of+the+Third+Kind
Il+buono,+il+brutto,+il+cattivo
Glengarry+Glen+Ross
The+Wolf+of+Wall+Street
Road+to+Perdition
Up
Natural+Born+Killers
Out+of+Sight
The+Bourne+Identity
An+American+Werewolf+in+London
United+93
Full+Metal+Jacket
The+General
The+Deer+Hunter
Desperado
Interview+with+the+Vampire+The+Vampire+Chronicles
Things+to+Do+in+Denver+When+Youre+Dead
Little+Miss+Sunshine
Carlitos+Way
Casino+Royale
Dirty+Harry
Gremlins
Butch+Cassidy+and+the+Sundance+Kid
Oceans+Eleven
The+Lord+of+the+Rings+The+Two+Towers
Amores+perros
Borat+Cultural+Learnings+of+America+for+Make+Benefit+Glorious+Nation+of+Kazakhstan
Austin+Powers+The+Spy+Who+Shagged+Me
Batman+Returns
The+Virgin+Suicides
28+Days+Later
